key,enabled,identity,password,username
user-account-base,true,"UserIdentity{name: 'Lorem ipsum dolor sit amet, consectetu', surname: 'Lorem ipsum dolor sit amet, consectetu', email: 'base@acme.com'}",password123,userbase
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-spokesperson-00,true,"UserIdentity{name: 'Valid', surname: 'Base', email: 's00@acme.com'}",pass,spokesperson00
user-account-spokesperson-01,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯ょ芝弾テソ Λορεμ ιπσθμ', email: 's01@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ѦѮ', email: 's02@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: 'Martina', surname: 'коза', email: 's03@acme.com'}",spokesperson3,spokesperson3
user-account-spokesperson-04,false,"UserIdentity{name: 'Antonia', surname: 'אבטיח Éløzå', email: 's04@acme.com'}",spokesperson4,spokesperson4
user-account-spokesperson-05,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's05@acme.com'}",spokesperson5,spokesperson5
user-account-spokesperson-06,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's06@acme.com'}",spokesperson6,spokesperson6
user-account-spokesperson-07,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's07@acme.com'}",spokesperson7,spokesperson7
user-account-spokesperson-08,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's08@acme.com'}",spokesperson8,spokesperson8
user-account-spokesperson-09,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's09@acme.com'}",spokesperson9,spokesperson9
user-account-spokesperson-10,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's10@acme.com'}",spokesperson10,spokesperson10
user-account-spokesperson-11,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's11@acme.com'}",spokesperson11,spokesperson11
user-account-spokesperson-12,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's12@acme.com'}",spokesperson12,spokesperson12
user-account-spokesperson-13,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's13@acme.com'}",spokesperson13,spokesperson13
user-account-spokesperson-14,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's14@acme.com'}",spokesperson14,spokesperson14
user-account-spokesperson-15,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's15@acme.com'}",spokesperson15,spokesperson15
user-account-spokesperson-16,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's16@acme.com'}",spokesperson16,spokesperson16
user-account-spokesperson-17,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's17@acme.com'}",spokesperson17,spokesperson17
user-account-spokesperson-18,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's18@acme.com'}",spokesperson18,spokesperson18
user-account-spokesperson-19,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's19@acme.com'}",spokesperson19,spokesperson19
user-account-spokesperson-20,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's20@acme.com'}",spokesperson20,spokesperson20
user-account-spokesperson-21,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 's21@acme.com'}",spokesperson21,spokesperson21
user-account-fundraiser-01,true,"UserIdentity{name: 'Mateo', surname: 'Rodríguez', email: 'mateo.rod92@email.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Valeria', surname: 'Garmendia', email: 'v.garmendia@mail.net'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Adrián', surname: 'Castillo', email: 'adri_castillo@webmail.es'}",fundraiser3,fundraiser3
user-account-fundraiser-04,true,"UserIdentity{name: 'Sofía', surname: 'Villalobos', email: 'sofia.v-88@proweb.com'}",fundraiser4,fundraiser4
user-account-fundraiser-05,true,"UserIdentity{name: 'Thiago', surname: 'Méndez', email: 'thiago.mendez@fastmail.com'}",fundraiser5,fundraiser5
user-account-fundraiser-06,true,"UserIdentity{name: 'Isabella', surname: 'Padrón', email: 'isabella.p-dev@cloudmail.org'}",fundraiser6,fundraiser6
user-account-fundraiser-07,true,"UserIdentity{name: 'Julián', surname: 'Soria', email: 'julian_soria@inter.net'}",fundraiser7,fundraiser7
user-account-fundraiser-08,true,"UserIdentity{name: 'Lucía', surname: 'Ferrero', email: 'lferrero.pro@digitalmail.com'}",fundraiser8,fundraiser8
user-account-fundraiser-09,true,"UserIdentity{name: 'Diego', surname: 'Aranda', email: 'd.aranda_95@servidor.es'}",fundraiser9,fundraiser9
user-account-fundraiser-10,true,"UserIdentity{name: 'Camila', surname: 'Benítez', email: 'cami.benitez@enlace.com'}",fundraiser10,fundraiser10
user-account-fundraiser-11,true,"UserIdentity{name: 'Nicolás', surname: 'Duarte', email: 'nico.duarte_oficial@mail.com'}",fundraiser11,fundraiser11
user-account-fundraiser-12,true,"UserIdentity{name: 'Martina', surname: 'Guevara', email: 'martina.g@vuelo.net'}",fundraiser12,fundraiser12
user-account-fundraiser-13,true,"UserIdentity{name: 'Bruno', surname: 'Salgado', email: 'bruno_sal_90@buzon.es'}",fundraiser13,fundraiser13
user-account-fundraiser-14,true,"UserIdentity{name: 'Elena', surname: 'Figueroa', email: 'efigueroa.web@correo.com'}",fundraiser14,fundraiser14
user-account-fundraiser-15,true,"UserIdentity{name: 'Sebastián', surname: 'Luján', email: 'sebastian.lujan.26@global.net'}",fundraiser15,fundraiser15
user-account-fundraiser-16,true,"UserIdentity{name: 'Natalia', surname: 'Cisneros', email: 'naty_cisneros@esencia.com'}",fundraiser16,fundraiser16
user-account-fundraiser-17,true,"UserIdentity{name: 'Joaquín', surname: 'Peralta', email: 'j.peralta@nube.es'}",fundraiser17,fundraiser17
user-account-fundraiser-18,true,"UserIdentity{name: 'Renata', surname: 'Olmos', email: 'renata_olmos84@vanguardia.com'}",fundraiser18,fundraiser18
user-account-fundraiser-19,true,"UserIdentity{name: 'Felipe', surname: 'Rozas', email: 'felipe.rozas@espacio.net'}",fundraiser19,fundraiser19
user-account-fundraiser-20,true,"UserIdentity{name: 'Victoria', surname: 'Meneses', email: 'vicky.meneses@estudio.com'}",fundraiser20,fundraiser20
user-account-fundraiser-21,true,"UserIdentity{name: 'Leonardo', surname: 'Basurto', email: 'leo_basurto@horizonte.es'}",fundraiser21,fundraiser21
user-account-fundraiser-22,true,"UserIdentity{name: 'Carmen', surname: 'Marin', email: 'elcorreodecarmen8@gmail.com'}",fundraiser22,fundraiser22
user-account-inventor-01,true,"UserIdentity{name: 'Inventor', surname: 'Uno', email: 'inventor1@email.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Inventor', surname: 'Dos', email: 'inventor2@email.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Inventor', surname: 'Tres', email: 'inventor3@email.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Inventor', surname: 'Cuatro', email: 'inventor4@email.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Inventor', surname: 'Cinco', email: 'inventor5@email.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Inventor', surname: 'Seis', email: 'inventor6@email.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Inventor', surname: 'Siete', email: 'inventor7@email.com'}",inventor7,inventor7
user-account-inventor-08,true,"UserIdentity{name: 'Inventor', surname: 'Ocho', email: 'inventor8@email.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Inventor', surname: 'Nueve', email: 'inventor9@email.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'Inventor', surname: 'Diez', email: 'inventor10@email.com'}",inventor10,inventor10
user-account-inventor-11,true,"UserIdentity{name: 'Inventor', surname: 'Once', email: 'inventor11@email.com'}",inventor11,inventor11
user-account-inventor-12,true,"UserIdentity{name: 'Inventor', surname: 'Doce', email: 'inventor12@email.com'}",inventor12,inventor12
user-account-inventor-13,true,"UserIdentity{name: 'Inventor', surname: 'Trece', email: 'inventor13@email.com'}",inventor13,inventor13
user-account-inventor-14,true,"UserIdentity{name: 'Inventor', surname: 'Catorce', email: 'inventor14@email.com'}",inventor14,inventor14
user-account-inventor-15,true,"UserIdentity{name: 'Inventor', surname: 'Quince', email: 'inventor15@email.com'}",inventor15,inventor15
user-account-inventor-16,true,"UserIdentity{name: 'Inventor', surname: 'Dieciseis', email: 'inventor16@email.com'}",inventor16,inventor16
user-account-inventor-17,true,"UserIdentity{name: 'Inventor', surname: 'Diecisiete', email: 'inventor17@email.com'}",inventor17,inventor17
user-account-inventor-18,true,"UserIdentity{name: 'Inventor', surname: 'Dieciocho', email: 'inventor18@email.com'}",inventor18,inventor18
user-account-inventor-19,true,"UserIdentity{name: 'Inventor', surname: 'Diecinueve', email: 'inventor19@email.com'}",inventor19,inventor19
user-account-inventor-20,true,"UserIdentity{name: 'Inventor', surname: 'Veinte', email: 'inventor20@email.com'}",inventor20,inventor20
user-account-inventor-21,true,"UserIdentity{name: 'Inventor', surname: 'Veintiuno', email: 'inventor21@email.com'}",inventor21,inventor21
user-account-inventor-22,true,"UserIdentity{name: 'Inventor', surname: 'Veintidos', email: 'inventor22@email.com'}",inventor22,inventor22
user-account-sponsor-01,true,"UserIdentity{name: 'Sponsor1', surname: 'Sponsor', email: 'sponsor1@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Sponsor2', surname: 'Sponsor', email: 'sponsor2@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Sponsor3', surname: 'Sponsor', email: 'sponsor3@acme.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Sponsor4', surname: 'Sponsor', email: 'sponsor4@acme.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Sponsor5', surname: 'Sponsor', email: 'sponsor5@acme.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Sponsor6', surname: 'Sponsor', email: 'sponsor6@acme.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Sponsor7', surname: 'Sponsor', email: 'sponsor7@acme.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Sponsor8', surname: 'Sponsor', email: 'sponsor8@acme.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'Sponsor9', surname: 'Sponsor', email: 'sponsor9@acme.com'}",sponsor9,sponsor9
user-account-sponsor-10,true,"UserIdentity{name: 'Sponsor10', surname: 'Sponsor', email: 'sponsor10@acme.com'}",sponsor10,sponsor10
user-account-sponsor-11,true,"UserIdentity{name: 'Sponsor11', surname: 'Sponsor', email: 'sponsor11@acme.com'}",sponsor11,sponsor11
